id,title,actual_label,predicted_label,tokens_used,processing_time,model,prompt_type
748,Alex Rodriguez and Jennifer Lopez’s dating history before they hooked up,fake,fake,977,0.5589027404785156,gpt-3.5-turbo,few_shot
20,Connecting People Through News,fake,real,968,0.5207149982452393,gpt-3.5-turbo,few_shot
1088,Married at First Sight Producer Gives Inside Look at Matching Process,real,real,975,0.7172620296478271,gpt-3.5-turbo,few_shot
466,Katy Perry Pressuring Robert Pattinson To Get Married ,fake,fake,975,0.5439798831939697,gpt-3.5-turbo,few_shot
491,Robin Roberts and Michael Strahan spark feud rumors,fake,fake,974,0.7844929695129395,gpt-3.5-turbo,few_shot
1521,"Lauren Bushnell has a new boyfriend after split from 'Bachelor' star Ben Higgins, source says",real,real,983,0.6148028373718262,gpt-3.5-turbo,few_shot
1038,Summer 2018: The Best Celebrity Vacation Spots,real,fake,976,0.8176500797271729,gpt-3.5-turbo,few_shot
315,"Tom Cruise is 'diabolical,' says Leah Remini",fake,fake,977,0.5713791847229004,gpt-3.5-turbo,few_shot
484,"Hold Up, Is Caitlyn Jenner Adopting a Baby?!",fake,fake,992,0.6562869548797607,gpt-3.5-turbo,few_shot
1833,"George Clooney Shows Off Pics of His Twins, Jokes They’re Like Models",real,real,980,0.7153496742248535,gpt-3.5-turbo,few_shot
106,"Halle Berry NOT Pregnant At 50, Despite Reports",fake,fake,977,0.4640629291534424,gpt-3.5-turbo,few_shot
1525,Snow White Parody Film Under Fire For Body Shaming,real,real,975,0.5805511474609375,gpt-3.5-turbo,few_shot
105,Justin Bieber: Hollywood Elites Killed My Unborn Child,fake,fake,976,0.47487711906433105,gpt-3.5-turbo,few_shot
1645,Drake: New album ‘Scorpion’ features Michael Jackson and Jay-Z,real,real,978,0.5130372047424316,gpt-3.5-turbo,few_shot
230,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source",fake,fake,987,0.6266272068023682,gpt-3.5-turbo,few_shot
339,"'Yeah, It's Been Hell' Oliver Hudson Jokes About Rumors of Brad Pitt Dating Sister Kate Hudson",fake,real,986,0.48162293434143066,gpt-3.5-turbo,few_shot
269,"Jamie Foxx Not Renting Out Disneyland For Katie Holmes, Despite Fake News",fake,real,979,0.7462639808654785,gpt-3.5-turbo,few_shot
763,Caitlyn Jenner spills on sex life with ex-wife Kris Jenner in tell-all book The Secrets of my Life,fake,fake,986,0.7128791809082031,gpt-3.5-turbo,few_shot
1799,Matt Damon Interrupts Chris Hemsworth's Interview with Jimmy Kimmel,real,real,977,0.5113170146942139,gpt-3.5-turbo,few_shot
1410,"Lala Kent, Kyle Richards and More Bravolebrities Share Their Moms' Beauty Advice",real,real,982,0.7341299057006836,gpt-3.5-turbo,few_shot
1401,"Steve Harvey's Ex-Wife Sues Him for $60 Million; Alleges Torture, Child Endangerment",real,real,987,0.5483589172363281,gpt-3.5-turbo,few_shot
782,Kylie Jenner Reignites Travis Scott Engagement Rumors With Diamond Ring On THAT Finger — Pic,fake,fake,982,0.48311400413513184,gpt-3.5-turbo,few_shot
1028,"Golden Globes 2018: Lady Bird Wins Best Motion Picture, Musical or Comedy",real,real,981,0.5108640193939209,gpt-3.5-turbo,few_shot
1841,National Eating Disorders Association,real,real,968,0.4522230625152588,gpt-3.5-turbo,few_shot
1831,Wilmer Valderrama spotted visiting ex Demi Lovato in hospital in LA,real,real,981,0.5871140956878662,gpt-3.5-turbo,few_shot
4,Orlando Bloom Biography,fake,real,967,0.488217830657959,gpt-3.5-turbo,few_shot
1348,I Do! Watch John Cena Adorably Officiate a Couple's Wedding Live on Today Show,real,real,992,0.5933120250701904,gpt-3.5-turbo,few_shot
772,BREAKING: Supreme Court Issues Its First Bench Warrant Ever,fake,real,1000,0.8201792240142822,gpt-3.5-turbo,few_shot
726,Paris Jackson Secret Surgery,fake,fake,969,0.6573069095611572,gpt-3.5-turbo,few_shot
1228,Tristan Thompson Spotted at Ohio Hospital After Khloe Kardashian Gives Birth: Pic,real,real,979,0.9475297927856445,gpt-3.5-turbo,few_shot
62,"Sofia Richie Hoping To Keep Scott Disick ‘Turned On’ By Emulating His Ex, Kourtney & It’s Working",fake,fake,992,0.6446888446807861,gpt-3.5-turbo,few_shot
1269,How Carmelo Anthony justified allegedly cheating on La La,real,fake,975,0.46361303329467773,gpt-3.5-turbo,few_shot
563,Celebrity blog: Brad Pitt and Angelina Jolie continue divorce talks — privately,fake,real,979,0.556476354598999,gpt-3.5-turbo,few_shot
818,Robert Pattinson & Kristen Stewart Reportedly In Talks For 1st Movie Together Since ‘Twilight’,fake,real,984,0.4702479839324951,gpt-3.5-turbo,few_shot
435,"Brad Pitt Reportedly ‘Locked Out’ By Shiloh Jolie-Pitt After Angelina Jolie Split, Says ‘Radar Online’",fake,fake,993,0.5318207740783691,gpt-3.5-turbo,few_shot
1129,Pregnant Heidi Montag shows off her burgeoning baby bump,real,real,975,0.4378831386566162,gpt-3.5-turbo,few_shot
1294,Aaron Carter Hits Back at Brother Nick After DUI Arrest and Alleges He Was Targeted Because He's Famous,real,real,985,0.5908699035644531,gpt-3.5-turbo,few_shot
1201,Brandy Skips Ray J’s Baby Shower Amidst Alleged Family Drama,real,real,979,0.6267950534820557,gpt-3.5-turbo,few_shot
556,"Brad Pitt Talks Divorce, Quitting Drinking, and Becoming a Better Man",fake,real,980,0.5107958316802979,gpt-3.5-turbo,few_shot
1318,Kourtney Kardashian and Scott Disick Discuss Marriage,real,fake,975,0.5125436782836914,gpt-3.5-turbo,few_shot
1917,Second Saturday in June,real,fake,969,0.5105628967285156,gpt-3.5-turbo,few_shot
498,"Jennifer Lopez & Alex Rodriguez Might Be Engaged, & There’s An Instagram Post To Prove It — PHOTO",fake,fake,987,0.5666048526763916,gpt-3.5-turbo,few_shot
128,Celebrities pay tribute to Mary Tyler Moore,fake,real,972,1.2780790328979492,gpt-3.5-turbo,few_shot
1512,Zayn Malik And Gigi Hadid: ‘Second Wives Club’ Star Shiva Safai Dishes On The ‘Amazing Kids’,real,fake,1006,0.7154521942138672,gpt-3.5-turbo,few_shot
427,Hollywood Mourns Death of ‘Legendary’ Harry Dean Stanton: ‘The Definition of Cool’,fake,real,982,0.5149428844451904,gpt-3.5-turbo,few_shot
1844,Khloe Kardashian opens up about 'anxiety' becoming a working mom,real,real,978,0.6085457801818848,gpt-3.5-turbo,few_shot
1622,How Kelsea Ballerini Went From Keith Urban's Biggest Fan to Biggest Opening Act,real,real,981,0.6134636402130127,gpt-3.5-turbo,few_shot
476,Ellen DeGeneres and Portia de Rossi Exchange Loving Anniversary Tributes in Celebration of Nine Years of Marriage,fake,real,985,0.5108311176300049,gpt-3.5-turbo,few_shot
1574,Sarah Ferguson: Why she was invited to Prince Harry’s wedding but NOT Prince William’s,real,real,981,0.5110788345336914,gpt-3.5-turbo,few_shot
459,"Brad Pitt, Girlfriend Neri Oxman ‘Talk on the Phone Several Times a Day’",fake,real,981,0.4059469699859619,gpt-3.5-turbo,few_shot
1459,The Winners and Losers From Thanksgiving Day Football,real,real,973,0.40274810791015625,gpt-3.5-turbo,few_shot
1566,Aubrey O'Day shares lingerie snaps amid Trump Jr. divorce drama,real,real,978,0.532280683517456,gpt-3.5-turbo,few_shot
661,Bindi Irwin Does NOT Believe Chandler Powell Is Late Dad ’ s Reincarnation  Despite Late And Wrong Report,fake,real,987,0.4810481071472168,gpt-3.5-turbo,few_shot
976,Drake Thinks Chris Brown’s ‘Comment Creeping’ On Rihanna Is ‘Sad & Desperate’,fake,real,983,0.5331428050994873,gpt-3.5-turbo,few_shot
1985,Rob Kardashian Shows Support for Ex Rita Ora During ‘Girls’ Backlash,real,real,979,0.5065169334411621,gpt-3.5-turbo,few_shot
738,Is Ben Affleck really Throwing Dinner Parties Just to Have Single Ladies Over? Find out here Full Story! – Married Biography,fake,fake,1005,0.4771730899810791,gpt-3.5-turbo,few_shot
614,Amber Rose Asked Club Not To Play Songs By Her Exes,fake,real,988,0.44646692276000977,gpt-3.5-turbo,few_shot
1377,Today Show & Good Morning America Epic Halloween Costumes 2017,real,real,977,0.5506348609924316,gpt-3.5-turbo,few_shot
1814,Cheryl (singer),real,real,968,0.4535789489746094,gpt-3.5-turbo,few_shot
647,Justin Bieber Explains Why He's Not in a Relationship: 'I Got My Heart Broken',fake,real,982,0.598207950592041,gpt-3.5-turbo,few_shot
725,Gwen Stefani Did Order Blake Shelton To Weight  Report,fake,fake,977,0.48209691047668457,gpt-3.5-turbo,few_shot
418,Watch Jenna Dewan Sizzle In Dance Off With J.Lo In 'World Of Dance' Trailer,fake,real,983,0.6268668174743652,gpt-3.5-turbo,few_shot
