id,title,actual_label,predicted_label,tokens_used,processing_time,model,prompt_type
748,Alex Rodriguez and Jennifer Lopez’s dating history before they hooked up,fake,fake,977,1.3269860744476318,gpt-4-turbo,few_shot
20,Connecting People Through News,fake,fake,969,0.8077950477600098,gpt-4-turbo,few_shot
1088,Married at First Sight Producer Gives Inside Look at Matching Process,real,real,975,1.6871600151062012,gpt-4-turbo,few_shot
466,Katy Perry Pressuring Robert Pattinson To Get Married ,fake,fake,975,0.8248400688171387,gpt-4-turbo,few_shot
491,Robin Roberts and Michael Strahan spark feud rumors,fake,fake,974,1.1996307373046875,gpt-4-turbo,few_shot
1521,"Lauren Bushnell has a new boyfriend after split from 'Bachelor' star Ben Higgins, source says",real,fake,984,1.3522460460662842,gpt-4-turbo,few_shot
1038,Summer 2018: The Best Celebrity Vacation Spots,real,fake,976,1.0489978790283203,gpt-4-turbo,few_shot
315,"Tom Cruise is 'diabolical,' says Leah Remini",fake,fake,977,0.6829357147216797,gpt-4-turbo,few_shot
484,"Hold Up, Is Caitlyn Jenner Adopting a Baby?!",fake,fake,992,1.934147834777832,gpt-4-turbo,few_shot
1833,"George Clooney Shows Off Pics of His Twins, Jokes They’re Like Models",real,real,980,0.7109167575836182,gpt-4-turbo,few_shot
106,"Halle Berry NOT Pregnant At 50, Despite Reports",fake,fake,977,0.8576419353485107,gpt-4-turbo,few_shot
1525,Snow White Parody Film Under Fire For Body Shaming,real,fake,976,1.1453769207000732,gpt-4-turbo,few_shot
105,Justin Bieber: Hollywood Elites Killed My Unborn Child,fake,fake,976,0.8145232200622559,gpt-4-turbo,few_shot
1645,Drake: New album ‘Scorpion’ features Michael Jackson and Jay-Z,real,real,978,0.7191481590270996,gpt-4-turbo,few_shot
230,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source",fake,fake,987,0.815380334854126,gpt-4-turbo,few_shot
339,"'Yeah, It's Been Hell' Oliver Hudson Jokes About Rumors of Brad Pitt Dating Sister Kate Hudson",fake,fake,987,1.0230040550231934,gpt-4-turbo,few_shot
269,"Jamie Foxx Not Renting Out Disneyland For Katie Holmes, Despite Fake News",fake,fake,980,1.645009994506836,gpt-4-turbo,few_shot
763,Caitlyn Jenner spills on sex life with ex-wife Kris Jenner in tell-all book The Secrets of my Life,fake,fake,986,0.8104078769683838,gpt-4-turbo,few_shot
1799,Matt Damon Interrupts Chris Hemsworth's Interview with Jimmy Kimmel,real,real,977,0.6151731014251709,gpt-4-turbo,few_shot
1410,"Lala Kent, Kyle Richards and More Bravolebrities Share Their Moms' Beauty Advice",real,real,982,1.5348670482635498,gpt-4-turbo,few_shot
1401,"Steve Harvey's Ex-Wife Sues Him for $60 Million; Alleges Torture, Child Endangerment",real,fake,988,1.329754114151001,gpt-4-turbo,few_shot
782,Kylie Jenner Reignites Travis Scott Engagement Rumors With Diamond Ring On THAT Finger — Pic,fake,fake,982,0.7174198627471924,gpt-4-turbo,few_shot
1028,"Golden Globes 2018: Lady Bird Wins Best Motion Picture, Musical or Comedy",real,real,981,1.4348180294036865,gpt-4-turbo,few_shot
1841,National Eating Disorders Association,real,fake,969,0.9190530776977539,gpt-4-turbo,few_shot
1831,Wilmer Valderrama spotted visiting ex Demi Lovato in hospital in LA,real,real,981,0.6123762130737305,gpt-4-turbo,few_shot
4,Orlando Bloom Biography,fake,fake,968,0.9206359386444092,gpt-4-turbo,few_shot
1348,I Do! Watch John Cena Adorably Officiate a Couple's Wedding Live on Today Show,real,real,992,0.8237969875335693,gpt-4-turbo,few_shot
772,BREAKING: Supreme Court Issues Its First Bench Warrant Ever,fake,fake,1001,1.3242199420928955,gpt-4-turbo,few_shot
726,Paris Jackson Secret Surgery,fake,fake,969,1.0225951671600342,gpt-4-turbo,few_shot
1228,Tristan Thompson Spotted at Ohio Hospital After Khloe Kardashian Gives Birth: Pic,real,real,979,0.6488378047943115,gpt-4-turbo,few_shot
62,"Sofia Richie Hoping To Keep Scott Disick ‘Turned On’ By Emulating His Ex, Kourtney & It’s Working",fake,fake,992,0.6951467990875244,gpt-4-turbo,few_shot
1269,How Carmelo Anthony justified allegedly cheating on La La,real,fake,975,1.8648879528045654,gpt-4-turbo,few_shot
563,Celebrity blog: Brad Pitt and Angelina Jolie continue divorce talks — privately,fake,fake,980,0.9855349063873291,gpt-4-turbo,few_shot
818,Robert Pattinson & Kristen Stewart Reportedly In Talks For 1st Movie Together Since ‘Twilight’,fake,fake,985,1.0219860076904297,gpt-4-turbo,few_shot
435,"Brad Pitt Reportedly ‘Locked Out’ By Shiloh Jolie-Pitt After Angelina Jolie Split, Says ‘Radar Online’",fake,fake,993,0.920536994934082,gpt-4-turbo,few_shot
