id,title,actual_label,predicted_label,tokens_used,processing_time,model,prompt_type
748,Alex Rodriguez and Jennifer Lopez’s dating history before they hooked up,fake,fake,973,1.4762580394744873,gpt-4o,few_shot
20,Connecting People Through News,fake,real,964,1.243685007095337,gpt-4o,few_shot
1088,Married at First Sight Producer Gives Inside Look at Matching Process,real,real,971,0.9767799377441406,gpt-4o,few_shot
466,Katy Perry Pressuring Robert Pattinson To Get Married ,fake,fake,971,0.8653707504272461,gpt-4o,few_shot
491,Robin Roberts and Michael Strahan spark feud rumors,fake,fake,970,0.8868968486785889,gpt-4o,few_shot
1521,"Lauren Bushnell has a new boyfriend after split from 'Bachelor' star Ben Higgins, source says",real,real,979,0.8548998832702637,gpt-4o,few_shot
1038,Summer 2018: The Best Celebrity Vacation Spots,real,fake,971,1.0150718688964844,gpt-4o,few_shot
315,"Tom Cruise is 'diabolical,' says Leah Remini",fake,fake,973,0.8223268985748291,gpt-4o,few_shot
484,"Hold Up, Is Caitlyn Jenner Adopting a Baby?!",fake,fake,988,0.8285179138183594,gpt-4o,few_shot
1833,"George Clooney Shows Off Pics of His Twins, Jokes They’re Like Models",real,real,976,0.9705090522766113,gpt-4o,few_shot
106,"Halle Berry NOT Pregnant At 50, Despite Reports",fake,fake,972,0.8734290599822998,gpt-4o,few_shot
1525,Snow White Parody Film Under Fire For Body Shaming,real,real,971,0.9524788856506348,gpt-4o,few_shot
105,Justin Bieber: Hollywood Elites Killed My Unborn Child,fake,fake,973,0.9986827373504639,gpt-4o,few_shot
1645,Drake: New album ‘Scorpion’ features Michael Jackson and Jay-Z,real,real,974,1.1586968898773193,gpt-4o,few_shot
230,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source",fake,fake,981,1.238584041595459,gpt-4o,few_shot
339,"'Yeah, It's Been Hell' Oliver Hudson Jokes About Rumors of Brad Pitt Dating Sister Kate Hudson",fake,real,981,0.9719669818878174,gpt-4o,few_shot
269,"Jamie Foxx Not Renting Out Disneyland For Katie Holmes, Despite Fake News",fake,real,974,0.9301929473876953,gpt-4o,few_shot
763,Caitlyn Jenner spills on sex life with ex-wife Kris Jenner in tell-all book The Secrets of my Life,fake,real,981,0.9432311058044434,gpt-4o,few_shot
1799,Matt Damon Interrupts Chris Hemsworth's Interview with Jimmy Kimmel,real,real,973,0.9356589317321777,gpt-4o,few_shot
1410,"Lala Kent, Kyle Richards and More Bravolebrities Share Their Moms' Beauty Advice",real,real,978,1.0018188953399658,gpt-4o,few_shot
1401,"Steve Harvey's Ex-Wife Sues Him for $60 Million; Alleges Torture, Child Endangerment",real,fake,984,0.9043519496917725,gpt-4o,few_shot
782,Kylie Jenner Reignites Travis Scott Engagement Rumors With Diamond Ring On THAT Finger — Pic,fake,fake,979,0.759512186050415,gpt-4o,few_shot
1028,"Golden Globes 2018: Lady Bird Wins Best Motion Picture, Musical or Comedy",real,real,977,0.7958090305328369,gpt-4o,few_shot
1841,National Eating Disorders Association,real,fake,965,1.059657096862793,gpt-4o,few_shot
1831,Wilmer Valderrama spotted visiting ex Demi Lovato in hospital in LA,real,real,975,0.908156156539917,gpt-4o,few_shot
4,Orlando Bloom Biography,fake,real,963,0.7622148990631104,gpt-4o,few_shot
1348,I Do! Watch John Cena Adorably Officiate a Couple's Wedding Live on Today Show,real,real,988,0.866157054901123,gpt-4o,few_shot
772,BREAKING: Supreme Court Issues Its First Bench Warrant Ever,fake,fake,997,0.9760470390319824,gpt-4o,few_shot
726,Paris Jackson Secret Surgery,fake,fake,965,0.7465438842773438,gpt-4o,few_shot
1228,Tristan Thompson Spotted at Ohio Hospital After Khloe Kardashian Gives Birth: Pic,real,real,975,0.856874942779541,gpt-4o,few_shot
62,"Sofia Richie Hoping To Keep Scott Disick ‘Turned On’ By Emulating His Ex, Kourtney & It’s Working",fake,fake,988,0.780555009841919,gpt-4o,few_shot
1269,How Carmelo Anthony justified allegedly cheating on La La,real,fake,971,0.8121640682220459,gpt-4o,few_shot
563,Celebrity blog: Brad Pitt and Angelina Jolie continue divorce talks — privately,fake,real,973,0.9183731079101562,gpt-4o,few_shot
818,Robert Pattinson & Kristen Stewart Reportedly In Talks For 1st Movie Together Since ‘Twilight’,fake,fake,981,0.8181588649749756,gpt-4o,few_shot
435,"Brad Pitt Reportedly ‘Locked Out’ By Shiloh Jolie-Pitt After Angelina Jolie Split, Says ‘Radar Online’",fake,fake,985,0.7034938335418701,gpt-4o,few_shot
1129,Pregnant Heidi Montag shows off her burgeoning baby bump,real,real,970,0.9410569667816162,gpt-4o,few_shot
1294,Aaron Carter Hits Back at Brother Nick After DUI Arrest and Alleges He Was Targeted Because He's Famous,real,real,980,0.7341938018798828,gpt-4o,few_shot
1201,Brandy Skips Ray J’s Baby Shower Amidst Alleged Family Drama,real,fake,976,0.6820859909057617,gpt-4o,few_shot
556,"Brad Pitt Talks Divorce, Quitting Drinking, and Becoming a Better Man",fake,real,974,0.7557659149169922,gpt-4o,few_shot
1318,Kourtney Kardashian and Scott Disick Discuss Marriage,real,fake,971,1.1949288845062256,gpt-4o,few_shot
1917,Second Saturday in June,real,fake,965,0.7511899471282959,gpt-4o,few_shot
498,"Jennifer Lopez & Alex Rodriguez Might Be Engaged, & There’s An Instagram Post To Prove It — PHOTO",fake,fake,983,1.1741571426391602,gpt-4o,few_shot
128,Celebrities pay tribute to Mary Tyler Moore,fake,real,968,0.7420811653137207,gpt-4o,few_shot
1512,Zayn Malik And Gigi Hadid: ‘Second Wives Club’ Star Shiva Safai Dishes On The ‘Amazing Kids’,real,fake,999,1.1164851188659668,gpt-4o,few_shot
427,Hollywood Mourns Death of ‘Legendary’ Harry Dean Stanton: ‘The Definition of Cool’,fake,real,979,0.8346672058105469,gpt-4o,few_shot
1844,Khloe Kardashian opens up about 'anxiety' becoming a working mom,real,real,974,1.013291835784912,gpt-4o,few_shot
1622,How Kelsea Ballerini Went From Keith Urban's Biggest Fan to Biggest Opening Act,real,real,978,0.8885221481323242,gpt-4o,few_shot
476,Ellen DeGeneres and Portia de Rossi Exchange Loving Anniversary Tributes in Celebration of Nine Years of Marriage,fake,real,981,0.7518398761749268,gpt-4o,few_shot
1574,Sarah Ferguson: Why she was invited to Prince Harry’s wedding but NOT Prince William’s,real,real,977,3.273049831390381,gpt-4o,few_shot
459,"Brad Pitt, Girlfriend Neri Oxman ‘Talk on the Phone Several Times a Day’",fake,fake,979,0.8283932209014893,gpt-4o,few_shot
1459,The Winners and Losers From Thanksgiving Day Football,real,real,969,1.5912108421325684,gpt-4o,few_shot
1566,Aubrey O'Day shares lingerie snaps amid Trump Jr. divorce drama,real,fake,975,0.7621240615844727,gpt-4o,few_shot
661,Bindi Irwin Does NOT Believe Chandler Powell Is Late Dad ’ s Reincarnation  Despite Late And Wrong Report,fake,fake,984,0.8988687992095947,gpt-4o,few_shot
976,Drake Thinks Chris Brown’s ‘Comment Creeping’ On Rihanna Is ‘Sad & Desperate’,fake,fake,980,0.6877200603485107,gpt-4o,few_shot
1985,Rob Kardashian Shows Support for Ex Rita Ora During ‘Girls’ Backlash,real,real,974,0.9254798889160156,gpt-4o,few_shot
738,Is Ben Affleck really Throwing Dinner Parties Just to Have Single Ladies Over? Find out here Full Story! – Married Biography,fake,fake,1001,0.8977718353271484,gpt-4o,few_shot
614,Amber Rose Asked Club Not To Play Songs By Her Exes,fake,fake,985,0.8501911163330078,gpt-4o,few_shot
1377,Today Show & Good Morning America Epic Halloween Costumes 2017,real,real,973,0.723142147064209,gpt-4o,few_shot
1814,Cheryl (singer),real,fake,965,1.0485920906066895,gpt-4o,few_shot
647,Justin Bieber Explains Why He's Not in a Relationship: 'I Got My Heart Broken',fake,real,977,1.5730910301208496,gpt-4o,few_shot
725,Gwen Stefani Did Order Blake Shelton To Weight  Report,fake,fake,972,0.6810381412506104,gpt-4o,few_shot
418,Watch Jenna Dewan Sizzle In Dance Off With J.Lo In 'World Of Dance' Trailer,fake,real,979,0.9242918491363525,gpt-4o,few_shot
562,Halle Berry & Boyfriend Alex Da Kid Break Up - theJasmineBRAND,fake,real,988,0.5611259937286377,gpt-4o,few_shot
1390,Suzette Quintanilla on Kim Kardashian and Demi Lovato's costumes,real,real,974,0.6671631336212158,gpt-4o,few_shot
768,"Despite Rihanna-Leonardo DiCaprio rumors, actor is single, rep says",fake,real,976,1.1039748191833496,gpt-4o,few_shot
642,PTC Analysis of YouTube Finds Explicit Content is One Click Away from Children,fake,real,975,0.8259820938110352,gpt-4o,few_shot
524,People can't stop wondering if Selena Gomez reacted to Justin Bieber's engagement — but everyone's concern is unnecessary and sexist,fake,fake,982,0.7224419116973877,gpt-4o,few_shot
389,Gwen Stefani Baggy Tee,fake,fake,967,0.9440939426422119,gpt-4o,few_shot
156,Brad Pitt and Jennifer Aniston 'busted' over Aspen reunion,fake,fake,974,0.7200148105621338,gpt-4o,few_shot
612,Kim Kardashian ‘Worried Sick’ Kanye West’s Feud With JAY-Z Will Cause Relapse https://tmbw.news/kim-kardashian-worried-sick-kanye-wests-fe…,fake,fake,1004,0.9127509593963623,gpt-4o,few_shot
270,Here's Why Kylie Jenner Decided to Stop Sharing Pictures of Stormi,fake,real,973,0.839622974395752,gpt-4o,few_shot
