id,title,actual_label,predicted_label,tokens_used,processing_time,model,prompt_type
748,Alex Rodriguez and Jennifer Lopez’s dating history before they hooked up,fake,real,284,0.4928288459777832,gpt-3.5-turbo,zero_shot
20,Connecting People Through News,fake,real,276,0.7113211154937744,gpt-3.5-turbo,zero_shot
1088,Married at First Sight Producer Gives Inside Look at Matching Process,real,real,283,0.378734827041626,gpt-3.5-turbo,zero_shot
466,Katy Perry Pressuring Robert Pattinson To Get Married ,fake,fake,283,0.7009861469268799,gpt-3.5-turbo,zero_shot
491,Robin Roberts and Michael Strahan spark feud rumors,fake,fake,282,0.5276789665222168,gpt-3.5-turbo,zero_shot
1521,"Lauren Bushnell has a new boyfriend after split from 'Bachelor' star Ben Higgins, source says",real,real,291,3.892103910446167,gpt-3.5-turbo,zero_shot
1038,Summer 2018: The Best Celebrity Vacation Spots,real,real,283,0.6985592842102051,gpt-3.5-turbo,zero_shot
315,"Tom Cruise is 'diabolical,' says Leah Remini",fake,fake,285,0.5210912227630615,gpt-3.5-turbo,zero_shot
484,"Hold Up, Is Caitlyn Jenner Adopting a Baby?!",fake,fake,300,0.7826747894287109,gpt-3.5-turbo,zero_shot
1833,"George Clooney Shows Off Pics of His Twins, Jokes They’re Like Models",real,real,288,0.4652562141418457,gpt-3.5-turbo,zero_shot
106,"Halle Berry NOT Pregnant At 50, Despite Reports",fake,real,284,0.7796049118041992,gpt-3.5-turbo,zero_shot
1525,Snow White Parody Film Under Fire For Body Shaming,real,real,283,0.5225210189819336,gpt-3.5-turbo,zero_shot
105,Justin Bieber: Hollywood Elites Killed My Unborn Child,fake,fake,284,0.5523169040679932,gpt-3.5-turbo,zero_shot
1645,Drake: New album ‘Scorpion’ features Michael Jackson and Jay-Z,real,real,286,0.49411702156066895,gpt-3.5-turbo,zero_shot
230,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source",fake,fake,295,0.527353048324585,gpt-3.5-turbo,zero_shot
339,"'Yeah, It's Been Hell' Oliver Hudson Jokes About Rumors of Brad Pitt Dating Sister Kate Hudson",fake,real,294,0.5213158130645752,gpt-3.5-turbo,zero_shot
269,"Jamie Foxx Not Renting Out Disneyland For Katie Holmes, Despite Fake News",fake,real,287,0.5699629783630371,gpt-3.5-turbo,zero_shot
763,Caitlyn Jenner spills on sex life with ex-wife Kris Jenner in tell-all book The Secrets of my Life,fake,fake,294,0.5120208263397217,gpt-3.5-turbo,zero_shot
1799,Matt Damon Interrupts Chris Hemsworth's Interview with Jimmy Kimmel,real,real,285,0.7166759967803955,gpt-3.5-turbo,zero_shot
1410,"Lala Kent, Kyle Richards and More Bravolebrities Share Their Moms' Beauty Advice",real,real,290,0.5084750652313232,gpt-3.5-turbo,zero_shot
1401,"Steve Harvey's Ex-Wife Sues Him for $60 Million; Alleges Torture, Child Endangerment",real,real,295,0.5174329280853271,gpt-3.5-turbo,zero_shot
782,Kylie Jenner Reignites Travis Scott Engagement Rumors With Diamond Ring On THAT Finger — Pic,fake,fake,290,0.5074977874755859,gpt-3.5-turbo,zero_shot
1028,"Golden Globes 2018: Lady Bird Wins Best Motion Picture, Musical or Comedy",real,real,289,0.6122479438781738,gpt-3.5-turbo,zero_shot
1841,National Eating Disorders Association,real,real,276,0.8068249225616455,gpt-3.5-turbo,zero_shot
1831,Wilmer Valderrama spotted visiting ex Demi Lovato in hospital in LA,real,real,289,0.6787378787994385,gpt-3.5-turbo,zero_shot
4,Orlando Bloom Biography,fake,real,275,0.5544919967651367,gpt-3.5-turbo,zero_shot
1348,I Do! Watch John Cena Adorably Officiate a Couple's Wedding Live on Today Show,real,real,300,0.4807469844818115,gpt-3.5-turbo,zero_shot
772,BREAKING: Supreme Court Issues Its First Bench Warrant Ever,fake,fake,309,0.5172531604766846,gpt-3.5-turbo,zero_shot
726,Paris Jackson Secret Surgery,fake,fake,277,0.47185802459716797,gpt-3.5-turbo,zero_shot
1228,Tristan Thompson Spotted at Ohio Hospital After Khloe Kardashian Gives Birth: Pic,real,real,287,0.48310399055480957,gpt-3.5-turbo,zero_shot
62,"Sofia Richie Hoping To Keep Scott Disick ‘Turned On’ By Emulating His Ex, Kourtney & It’s Working",fake,fake,300,0.5025432109832764,gpt-3.5-turbo,zero_shot
1269,How Carmelo Anthony justified allegedly cheating on La La,real,fake,283,0.7178511619567871,gpt-3.5-turbo,zero_shot
563,Celebrity blog: Brad Pitt and Angelina Jolie continue divorce talks — privately,fake,real,287,0.6118760108947754,gpt-3.5-turbo,zero_shot
818,Robert Pattinson & Kristen Stewart Reportedly In Talks For 1st Movie Together Since ‘Twilight’,fake,real,292,0.5132839679718018,gpt-3.5-turbo,zero_shot
435,"Brad Pitt Reportedly ‘Locked Out’ By Shiloh Jolie-Pitt After Angelina Jolie Split, Says ‘Radar Online’",fake,fake,301,0.5081231594085693,gpt-3.5-turbo,zero_shot
1129,Pregnant Heidi Montag shows off her burgeoning baby bump,real,real,283,0.5128870010375977,gpt-3.5-turbo,zero_shot
1294,Aaron Carter Hits Back at Brother Nick After DUI Arrest and Alleges He Was Targeted Because He's Famous,real,real,293,5.017898082733154,gpt-3.5-turbo,zero_shot
1201,Brandy Skips Ray J’s Baby Shower Amidst Alleged Family Drama,real,real,287,0.5111019611358643,gpt-3.5-turbo,zero_shot
556,"Brad Pitt Talks Divorce, Quitting Drinking, and Becoming a Better Man",fake,real,288,0.7153298854827881,gpt-3.5-turbo,zero_shot
1318,Kourtney Kardashian and Scott Disick Discuss Marriage,real,real,282,0.510382890701294,gpt-3.5-turbo,zero_shot
1917,Second Saturday in June,real,real,276,0.6129727363586426,gpt-3.5-turbo,zero_shot
498,"Jennifer Lopez & Alex Rodriguez Might Be Engaged, & There’s An Instagram Post To Prove It — PHOTO",fake,real,294,1.0837628841400146,gpt-3.5-turbo,zero_shot
128,Celebrities pay tribute to Mary Tyler Moore,fake,real,280,0.4719550609588623,gpt-3.5-turbo,zero_shot
1512,Zayn Malik And Gigi Hadid: ‘Second Wives Club’ Star Shiva Safai Dishes On The ‘Amazing Kids’,real,fake,314,0.8688321113586426,gpt-3.5-turbo,zero_shot
427,Hollywood Mourns Death of ‘Legendary’ Harry Dean Stanton: ‘The Definition of Cool’,fake,real,290,0.9505271911621094,gpt-3.5-turbo,zero_shot
1844,Khloe Kardashian opens up about 'anxiety' becoming a working mom,real,real,286,0.5106391906738281,gpt-3.5-turbo,zero_shot
1622,How Kelsea Ballerini Went From Keith Urban's Biggest Fan to Biggest Opening Act,real,real,289,0.5005083084106445,gpt-3.5-turbo,zero_shot
476,Ellen DeGeneres and Portia de Rossi Exchange Loving Anniversary Tributes in Celebration of Nine Years of Marriage,fake,real,293,0.47605204582214355,gpt-3.5-turbo,zero_shot
