id,title,actual_label,predicted_label,tokens_used,processing_time,model,prompt_type
748,Alex Rodriguez and Jennifer Lopez’s dating history before they hooked up,fake,real,276,1.336061954498291,gpt-4o,zero_shot
20,Connecting People Through News,fake,real,268,1.0110771656036377,gpt-4o,zero_shot
1088,Married at First Sight Producer Gives Inside Look at Matching Process,real,real,275,0.9194459915161133,gpt-4o,zero_shot
466,Katy Perry Pressuring Robert Pattinson To Get Married ,fake,fake,275,1.223297119140625,gpt-4o,zero_shot
491,Robin Roberts and Michael Strahan spark feud rumors,fake,fake,274,0.7176899909973145,gpt-4o,zero_shot
1521,"Lauren Bushnell has a new boyfriend after split from 'Bachelor' star Ben Higgins, source says",real,real,283,0.9207189083099365,gpt-4o,zero_shot
1038,Summer 2018: The Best Celebrity Vacation Spots,real,real,274,1.9435200691223145,gpt-4o,zero_shot
315,"Tom Cruise is 'diabolical,' says Leah Remini",fake,real,276,0.5107297897338867,gpt-4o,zero_shot
484,"Hold Up, Is Caitlyn Jenner Adopting a Baby?!",fake,fake,292,0.8181369304656982,gpt-4o,zero_shot
1833,"George Clooney Shows Off Pics of His Twins, Jokes They’re Like Models",real,real,280,0.8173677921295166,gpt-4o,zero_shot
106,"Halle Berry NOT Pregnant At 50, Despite Reports",fake,real,275,0.6775150299072266,gpt-4o,zero_shot
1525,Snow White Parody Film Under Fire For Body Shaming,real,real,275,0.7523479461669922,gpt-4o,zero_shot
105,Justin Bieber: Hollywood Elites Killed My Unborn Child,fake,fake,277,1.536365032196045,gpt-4o,zero_shot
1645,Drake: New album ‘Scorpion’ features Michael Jackson and Jay-Z,real,real,278,0.8466072082519531,gpt-4o,zero_shot
230,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source",fake,fake,285,0.7403428554534912,gpt-4o,zero_shot
339,"'Yeah, It's Been Hell' Oliver Hudson Jokes About Rumors of Brad Pitt Dating Sister Kate Hudson",fake,real,285,1.0691652297973633,gpt-4o,zero_shot
269,"Jamie Foxx Not Renting Out Disneyland For Katie Holmes, Despite Fake News",fake,real,278,0.7459719181060791,gpt-4o,zero_shot
